journal_title,twitter,followers,date
3d printing and additive manufacturing,3DPrintingJrnl,9044,2022-09-01
a + u-architecture and urbanism,aupublishing,19538,2022-09-01
aaps pharmscitech,pharmscitech,325,2022-09-01
ab imperio-studies of new imperial history and nationalism in the post-soviet space,abimperio,1674,2022-09-01
abdominal radiology,Abdominal_Rad,1657,2022-09-01
academic emergency medicine,AcademicEmerMed,7063,2022-09-01
academic medicine,AcadMedJournal,20123,2022-09-01
academic radiology,AcadRadiol,3497,2022-09-01
acadiensis,Acadiensis,913,2022-09-01
acarologia,AcarologiaHome,141,2022-09-01
accounting and business research,AccBusRes,953,2022-09-01
accounting and finance,AF_AFAANZ,1697,2022-09-01
accounting auditing & accountability journal,AAAJEmerald,1106,2022-09-01
accounting forum,TandF_AccForum,555,2022-09-01
acm transactions on computer-human interaction,acmtochi,4768,2022-09-01
acm transactions on information systems,acmtois,614,2022-09-01
acm transactions on intelligent systems and technology,ACMTIST,37,2022-09-01
acm transactions on reconfigurable technology and systems,ACM_TRETS,85,2022-09-01
acm transactions on the web,TWebACM,164,2022-09-01
acs applied energy materials,ACS_AEM,1750,2022-09-01
acs applied nano materials,ACS_ANM,1899,2022-09-01
acs biomaterials science & engineering,ACSBiomaterials,3628,2022-09-01
acs catalysis,ACSCatalysis,26559,2022-09-01
acs central science,ACSCentSci,20253,2022-09-01
acs chemical neuroscience,ACSChemNeurosci,3909,2022-09-01
acs earth and space chemistry,ACSEarthSpace,1009,2022-09-01
acs infectious diseases,ACS_Infectious,3163,2022-09-01
acs macro letters,ACSMacroLett,4515,2022-09-01
acs materials letters,ACSMatLett,2368,2022-09-01
acs nano,acsnano,38278,2022-09-01
acs omega,ACS_Omega,3576,2022-09-01
acs photonics,ACSPhotonics,5804,2022-09-01
acs sensors,ACS_Sensors,3364,2022-09-01
acs sustainable chemistry & engineering,ACSSustainable,3247,2022-09-01
acs synthetic biology,ACSSynBio,8741,2022-09-01
acta acustica,ActaAcustica,70,2022-09-01
acta biologica colombiana,RevistaABC,1909,2022-09-01
acta biomaterialia,ActaBio,5119,2022-09-01
acta botanica brasilica,abbrasilica,173,2022-09-01
acta botanica croatica,ActaBotCro,91,2022-09-01
acta botanica mexicana,ActaBotMex,996,2022-09-01
acta chiropterologica,ActaChiroptero1,2,2022-09-01
acta cirurgica brasileira,ActaCirurgicaBR,22,2022-09-01
acta clinica belgica,ActaClinica,4,2022-09-01
acta crystallographica a-foundation and advances,ActaCrystA,852,2022-09-01
acta crystallographica section b-structural science crystal engineering and materials,ActaCrystB,1088,2022-09-01
acta crystallographica section c-structural chemistry,ActaCrystC,1670,2022-09-01
acta crystallographica section d-structural biology,ActaCrystD,2100,2022-09-01
acta crystallographica section f-structural biology communications,ActaCrystF,1219,2022-09-01
acta entomologica musei nationalis pragae,ActaEntomol,443,2022-09-01
acta geophysica,AGeophysica,22,2022-09-01
acta materialia,Acta_Materialia,3030,2022-09-01
