journal_title,twitter,followers,date
3d printing and additive manufacturing,3DPrintingJrnl,9067,2023-01-01
a + u-architecture and urbanism,aupublishing,19672,2023-01-01
aaps pharmscitech,pharmscitech,329,2023-01-01
ab imperio-studies of new imperial history and nationalism in the post-soviet space,abimperio,1687,2023-01-01
abdominal radiology,Abdominal_Rad,2014,2023-01-01
academic emergency medicine,AcademicEmerMed,7091,2023-01-01
academic medicine,AcadMedJournal,20239,2023-01-01
academic radiology,AcadRadiol,3680,2023-01-01
acadiensis,Acadiensis,904,2023-01-01
acarologia,AcarologiaHome,154,2023-01-01
accounting and business research,AccBusRes,1000,2023-01-01
accounting and finance,AF_AFAANZ,1746,2023-01-01
accounting auditing & accountability journal,AAAJEmerald,1200,2023-01-01
accounting forum,TandF_AccForum,620,2023-01-01
acm transactions on computer-human interaction,acmtochi,4801,2023-01-01
acm transactions on information systems,acmtois,635,2023-01-01
acm transactions on intelligent systems and technology,ACMTIST,39,2023-01-01
acm transactions on reconfigurable technology and systems,ACM_TRETS,92,2023-01-01
acm transactions on the web,TWebACM,186,2023-01-01
acs applied energy materials,ACS_AEM,1814,2023-01-01
acs applied nano materials,ACS_ANM,1956,2023-01-01
acs biomaterials science & engineering,ACSBiomaterials,3699,2023-01-01
acs catalysis,ACSCatalysis,27998,2023-01-01
acs central science,ACSCentSci,21651,2023-01-01
acs chemical neuroscience,ACSChemNeurosci,3901,2023-01-01
acs earth and space chemistry,ACSEarthSpace,1024,2023-01-01
acs infectious diseases,ACS_Infectious,3155,2023-01-01
acs macro letters,ACSMacroLett,4486,2023-01-01
acs materials letters,ACSMatLett,2470,2023-01-01
acs nano,acsnano,39033,2023-01-01
acs omega,ACS_Omega,3817,2023-01-01
acs photonics,ACSPhotonics,6059,2023-01-01
acs sensors,ACS_Sensors,3582,2023-01-01
acs sustainable chemistry & engineering,ACSSustainable,3410,2023-01-01
acs synthetic biology,ACSSynBio,9047,2023-01-01
acta acustica,ActaAcustica,79,2023-01-01
acta biologica colombiana,RevistaABC,1900,2023-01-01
acta biomaterialia,ActaBio,5253,2023-01-01
acta botanica brasilica,abbrasilica,182,2023-01-01
acta botanica croatica,ActaBotCro,93,2023-01-01
acta botanica mexicana,ActaBotMex,1039,2023-01-01
acta chiropterologica,ActaChiroptero1,2,2023-01-01
acta cirurgica brasileira,ActaCirurgicaBR,33,2023-01-01
acta clinica belgica,ActaClinica,4,2023-01-01
acta crystallographica a-foundation and advances,ActaCrystA,874,2023-01-01
acta crystallographica section b-structural science crystal engineering and materials,ActaCrystB,1111,2023-01-01
acta crystallographica section c-structural chemistry,ActaCrystC,1701,2023-01-01
