journal_title,twitter,followers,date
3d printing and additive manufacturing,3DPrintingJrnl,9019,2022-08-01
a + u-architecture and urbanism,aupublishing,19549,2022-08-01
aaps pharmscitech,pharmscitech,328,2022-08-01
ab imperio-studies of new imperial history and nationalism in the post-soviet space,abimperio,1673,2022-08-01
abdominal radiology,Abdominal_Rad,1571,2022-08-01
academic emergency medicine,AcademicEmerMed,7010,2022-08-01
academic medicine,AcadMedJournal,19942,2022-08-01
academic radiology,AcadRadiol,3412,2022-08-01
acadiensis,Acadiensis,899,2022-08-01
acarologia,AcarologiaHome,139,2022-08-01
accounting and business research,AccBusRes,931,2022-08-01
accounting and finance,AF_AFAANZ,1679,2022-08-01
accounting auditing & accountability journal,AAAJEmerald,1085,2022-08-01
accounting forum,TandF_AccForum,548,2022-08-01
acm transactions on computer-human interaction,acmtochi,4719,2022-08-01
acm transactions on information systems,acmtois,608,2022-08-01
acm transactions on intelligent systems and technology,ACMTIST,36,2022-08-01
acm transactions on reconfigurable technology and systems,ACM_TRETS,84,2022-08-01
acm transactions on the web,TWebACM,160,2022-08-01
acs applied energy materials,ACS_AEM,1732,2022-08-01
acs applied nano materials,ACS_ANM,1874,2022-08-01
acs biomaterials science & engineering,ACSBiomaterials,3625,2022-08-01
acs catalysis,ACSCatalysis,26030,2022-08-01
acs central science,ACSCentSci,20031,2022-08-01
acs chemical neuroscience,ACSChemNeurosci,3896,2022-08-01
acs earth and space chemistry,ACSEarthSpace,1009,2022-08-01
acs infectious diseases,ACS_Infectious,3152,2022-08-01
acs macro letters,ACSMacroLett,4500,2022-08-01
acs materials letters,ACSMatLett,2346,2022-08-01
acs nano,acsnano,38030,2022-08-01
acs omega,ACS_Omega,3479,2022-08-01
acs photonics,ACSPhotonics,5737,2022-08-01
acs sensors,ACS_Sensors,3296,2022-08-01
acs sustainable chemistry & engineering,ACSSustainable,3194,2022-08-01
acs synthetic biology,ACSSynBio,8652,2022-08-01
acta acustica,ActaAcustica,65,2022-08-01
acta biologica colombiana,RevistaABC,1905,2022-08-01
acta biomaterialia,ActaBio,5061,2022-08-01
acta botanica brasilica,abbrasilica,168,2022-08-01
acta botanica croatica,ActaBotCro,91,2022-08-01
acta botanica mexicana,ActaBotMex,982,2022-08-01
acta chiropterologica,ActaChiroptero1,2,2022-08-01
acta cirurgica brasileira,ActaCirurgicaBR,14,2022-08-01
acta clinica belgica,ActaClinica,4,2022-08-01
acta crystallographica a-foundation and advances,ActaCrystA,837,2022-08-01
acta crystallographica section b-structural science crystal engineering and materials,ActaCrystB,1074,2022-08-01
