journal_title,twitter,followers,date
3d printing and additive manufacturing,3DPrintingJrnl,9095,2023-02-01
a + u-architecture and urbanism,aupublishing,19676,2023-02-01
aaps pharmscitech,pharmscitech,331,2023-02-01
ab imperio-studies of new imperial history and nationalism in the post-soviet space,abimperio,1692,2023-02-01
abdominal radiology,Abdominal_Rad,2136,2023-02-01
academic emergency medicine,AcademicEmerMed,7135,2023-02-01
academic medicine,AcadMedJournal,20376,2023-02-01
academic radiology,AcadRadiol,3692,2023-02-01
acadiensis,Acadiensis,924,2023-02-01
acarologia,AcarologiaHome,156,2023-02-01
accounting and business research,AccBusRes,1003,2023-02-01
accounting and finance,AF_AFAANZ,1771,2023-02-01
accounting auditing & accountability journal,AAAJEmerald,1215,2023-02-01
accounting forum,TandF_AccForum,641,2023-02-01
acm transactions on computer-human interaction,acmtochi,4835,2023-02-01
acm transactions on information systems,acmtois,639,2023-02-01
acm transactions on intelligent systems and technology,ACMTIST,40,2023-02-01
acm transactions on reconfigurable technology and systems,ACM_TRETS,92,2023-02-01
acm transactions on the web,TWebACM,189,2023-02-01
acs applied energy materials,ACS_AEM,1823,2023-02-01
acs applied nano materials,ACS_ANM,1961,2023-02-01
acs biomaterials science & engineering,ACSBiomaterials,3722,2023-02-01
acs catalysis,ACSCatalysis,28304,2023-02-01
acs central science,ACSCentSci,21989,2023-02-01
acs chemical neuroscience,ACSChemNeurosci,3917,2023-02-01
acs earth and space chemistry,ACSEarthSpace,1030,2023-02-01
acs infectious diseases,ACS_Infectious,3164,2023-02-01
acs macro letters,ACSMacroLett,4482,2023-02-01
acs materials letters,ACSMatLett,2497,2023-02-01
acs nano,acsnano,39246,2023-02-01
acs omega,ACS_Omega,3926,2023-02-01
acs photonics,ACSPhotonics,6103,2023-02-01
acs sensors,ACS_Sensors,3624,2023-02-01
acs sustainable chemistry & engineering,ACSSustainable,3446,2023-02-01
acs synthetic biology,ACSSynBio,9152,2023-02-01
acta acustica,ActaAcustica,82,2023-02-01
acta biologica colombiana,RevistaABC,1898,2023-02-01
acta biomaterialia,ActaBio,5287,2023-02-01
acta botanica brasilica,abbrasilica,185,2023-02-01
acta botanica croatica,ActaBotCro,92,2023-02-01
acta botanica mexicana,ActaBotMex,1061,2023-02-01
acta chiropterologica,ActaChiroptero1,3,2023-02-01
acta cirurgica brasileira,ActaCirurgicaBR,35,2023-02-01
acta clinica belgica,ActaClinica,4,2023-02-01
acta crystallographica a-foundation and advances,ActaCrystA,880,2023-02-01
acta crystallographica section b-structural science crystal engineering and materials,ActaCrystB,1119,2023-02-01
acta crystallographica section c-structural chemistry,ActaCrystC,1721,2023-02-01
acta crystallographica section d-structural biology,ActaCrystD,2147,2023-02-01
acta crystallographica section f-structural biology communications,ActaCrystF,1255,2023-02-01
acta entomologica musei nationalis pragae,ActaEntomol,446,2023-02-01
acta geophysica,AGeophysica,25,2023-02-01
acta materialia,Acta_Materialia,3263,2023-02-01
acta medica portuguesa,ActaMedPort,919,2023-02-01
acta neurochirurgica,ActaNeuro,3355,2023-02-01
acta neuropsychiatrica,scnpjournal,64,2023-02-01
acta obstetricia et gynecologica scandinavica,AOGS_tweets,1499,2023-02-01
acta oncologica,actaoncol,190,2023-02-01
acta ophthalmologica,ActaOphthalmol,9,2023-02-01
acta ornithologica,actaorn,481,2023-02-01
acta orthopaedica,ActaOrt,126,2023-02-01
acta otorhinolaryngologica italica,actaitalica,9,2023-02-01
acta paediatrica,ActaPaediatrica,2041,2023-02-01
acta paulista de enfermagem,ActaPaulEnferm,498,2023-02-01
acta pharmaceutica sinica b,ActaPharmSinB,1326,2023-02-01
acta physiologica,ActaPhysiol,109,2023-02-01
acta politica,ActaPolitica,607,2023-02-01
acta psychiatrica scandinavica,ActaPsychScand,1473,2023-02-01
acta societatis botanicorum poloniae,actasocbotpol,18,2023-02-01
acta sociologica,ActaSocJournal,902,2023-02-01
actas urologicas espanolas,actasurologicas,3783,2023-02-01
actuators,Actuators_MDPI,240,2023-02-01
addiction,AddictionJrnl,15160,2023-02-01
addiction research & theory,AddictResTheory,1856,2023-02-01
additive manufacturing,AdditiveJournal,205,2023-02-01
administrative law review,AdLawReview,936,2023-02-01
administrative science quarterly,ASQJournal,7853,2023-02-01
adult education quarterly,AEQjournal,771,2023-02-01
advanced biology,Adv_Biology,603,2023-02-01
advanced drug delivery reviews,ADDReditors,2041,2023-02-01
advanced synthesis & catalysis,AdvSynthCatal,4235,2023-02-01
advances in archaeological practice,aap_saaorg,2119,2023-02-01
advances in atmospheric sciences,AASjournal,764,2023-02-01
advances in clinical and experimental medicine,in_clinical,8,2023-02-01
advances in cognitive psychology,AdvCognPsychol,210,2023-02-01
advances in health sciences education,advhlthsciedu,473,2023-02-01
advances in neonatal care,ANCjournal,400,2023-02-01
advances in nursing science,ANSJournal,416,2023-02-01
advances in physiology education,AdvPhysiolEduc,488,2023-02-01
advances in skin & wound care,aswcjournal,5249,2023-02-01
advances in therapy,AdvancesTherapy,1229,2023-02-01
advances in weed science,AdvancesWeedSci,693,2023-02-01
aera open,AeraOpen,1429,2023-02-01
aeronautical journal,JournalAero,40,2023-02-01
aerosol and air quality research,AAQR2001,33,2023-02-01
aerosol science and technology,ASTJournal,398,2023-02-01
aerospace,Aerospace_MDPI,428,2023-02-01
