journal_title,twitter,followers,date
afterall,AfterallJournal,11842,2023-05-31
age and ageing,Age_and_Ageing,22575,2023-05-31
ageing & society,Ageing_Society,4202,2023-05-31
agenda,agendapoetry,912,2023-05-31
aging-us,AgingJrnl,2915,2023-05-31
aging & mental health,AgingMH,303,2023-05-31
aging cell,AgingCell,3747,2023-05-31
agricultural and forest entomology,AFEntomology,1663,2023-05-31
agricultural and forest meteorology,agformet,789,2023-05-31
agriculture-basel,AgricultureMdpi,1391,2023-05-31
agronomy-basel,Agronomy_Mdpi,2459,2023-05-31
agronomy for sustainable development,ASD_INRAE,811,2023-05-31
agronomy journal,AgronomyJournal,3163,2023-05-31
ai communications,AI_Comms,63,2023-05-31
aids,AIDS_Journal,2350,2023-05-31
aids and behavior,AIDSandBehavior,590,2023-05-31
alcohol,JournalAlcohol,955,2023-05-31
allergologia et immunopathologia,alletimm,8,2023-05-31
alpha psychiatry,AlphaPsychiatry,2752,2023-05-31
alzheimers research & therapy,AlzheimersRes,2266,2023-05-31
ambio,Ambio_Journal,260,2023-05-31
american anthropologist,AmAnthroJournal,6842,2023-05-31
american behavioral scientist,ABSjournal,195,2023-05-31
american biology teacher,ameghiniana,1050,2023-05-31
american book review,Amerbookreview,230,2023-05-31
american business law journal,the_ablj,272,2023-05-31
american criminal law review,AmCrimLRev,1918,2023-05-31
american educational research journal,aerj_journal,870,2023-05-31
american ethnologist,AmEthno,21106,2023-05-31
american family physician,AFPJournal,14800,2023-05-31
american heart journal,AmericanHeartJ,9868,2023-05-31
american historical review,AmHistReview,7951,2023-05-31
american journal of agricultural economics,AJAE_AAEA,6676,2023-05-31
american journal of bioethics,bioethics_net,12281,2023-05-31
american journal of clinical nutrition,AJCNutrition,6982,2023-05-31
american journal of clinical pathology,AJCPjournal,3322,2023-05-31
american journal of community psychology,A_J_Comm_Psych,968,2023-05-31
american journal of criminal justice,AJCJ_UNF,3,2023-05-31
american journal of critical care,ajccme,5727,2023-05-31
american journal of cultural sociology,CulturalSociol,1803,2023-05-31
american journal of drug and alcohol abuse,AJDAAJournal,2053,2023-05-31
american journal of epidemiology,AmJEpi,17863,2023-05-31
american journal of forensic medicine and pathology,amjforensicmed,801,2023-05-31
american journal of gastroenterology,AmJGastro,8143,2023-05-31
