journal_title,twitter,followers,date
3d printing and additive manufacturing,3DPrintingJrnl,9150,2023-08-01
a + u-architecture and urbanism,aupublishing,19445,2023-08-01
aaps pharmscitech,pharmscitech,342,2023-08-01
ab imperio-studies of new imperial history and nationalism in the post-soviet space,abimperio,1747,2023-08-01
abdominal radiology,Abdominal_Rad,2771,2023-08-01
academic emergency medicine,AcademicEmerMed,7479,2023-08-01
academic medicine,AcadMedJournal,20888,2023-08-01
academic radiology,AcadRadiol,3946,2023-08-01
acadiensis,Acadiensis,950,2023-08-01
acarologia,AcarologiaHome,172,2023-08-01
accounting and business research,AccBusRes,1054,2023-08-01
accounting and finance,AF_AFAANZ,1843,2023-08-01
accounting auditing & accountability journal,AAAJEmerald,1283,2023-08-01
accounting forum,TandF_AccForum,753,2023-08-01
acm transactions on computer-human interaction,acmtochi,5124,2023-08-01
acm transactions on information systems,acmtois,655,2023-08-01
acm transactions on intelligent systems and technology,ACMTIST,43,2023-08-01
acm transactions on reconfigurable technology and systems,ACM_TRETS,91,2023-08-01
acm transactions on the web,TWebACM,198,2023-08-01
acs applied energy materials,ACS_AEM,1855,2023-08-01
acs applied nano materials,ACS_ANM,2002,2023-08-01
acs biomaterials science & engineering,ACSBiomaterials,3807,2023-08-01
acs catalysis,ACSCatalysis,30537,2023-08-01
acs central science,ACSCentSci,23264,2023-08-01
acs chemical neuroscience,ACSChemNeurosci,3903,2023-08-01
acs earth and space chemistry,ACSEarthSpace,1037,2023-08-01
acs infectious diseases,ACS_Infectious,3176,2023-08-01
acs macro letters,ACSMacroLett,4448,2023-08-01
acs materials letters,ACSMatLett,2604,2023-08-01
acs nano,acsnano,40303,2023-08-01
acs omega,ACS_Omega,4271,2023-08-01
acs photonics,ACSPhotonics,6389,2023-08-01
acs sensors,ACS_Sensors,3931,2023-08-01
acs sustainable chemistry & engineering,ACSSustainable,3694,2023-08-01
acs synthetic biology,ACSSynBio,9709,2023-08-01
acta acustica,ActaAcustica,90,2023-08-01
acta biologica colombiana,RevistaABC,1883,2023-08-01
acta biomaterialia,ActaBio,5452,2023-08-01
acta botanica brasilica,abbrasilica,194,2023-08-01
acta botanica croatica,ActaBotCro,92,2023-08-01
acta botanica mexicana,ActaBotMex,1133,2023-08-01
acta chiropterologica,ActaChiroptero1,3,2023-08-01
acta cirurgica brasileira,ActaCirurgicaBR,44,2023-08-01
acta clinica belgica,ActaClinica,4,2023-08-01
acta crystallographica a-foundation and advances,ActaCrystA,904,2023-08-01
acta crystallographica section b-structural science crystal engineering and materials,ActaCrystB,1148,2023-08-01
acta crystallographica section c-structural chemistry,ActaCrystC,1822,2023-08-01
acta crystallographica section d-structural biology,ActaCrystD,2442,2023-08-01
acta crystallographica section f-structural biology communications,ActaCrystF,1349,2023-08-01
acta entomologica musei nationalis pragae,ActaEntomol,444,2023-08-01
acta geophysica,AGeophysica,39,2023-08-01
acta materialia,Acta_Materialia,3438,2023-08-01
acta medica portuguesa,ActaMedPort,933,2023-08-01
acta neurochirurgica,ActaNeuro,3495,2023-08-01
acta neuropsychiatrica,scnpjournal,63,2023-08-01
acta obstetricia et gynecologica scandinavica,AOGS_tweets,1609,2023-08-01
acta oncologica,actaoncol,206,2023-08-01
acta ophthalmologica,ActaOphthalmol,16,2023-08-01
acta ornithologica,actaorn,524,2023-08-01
acta orthopaedica,ActaOrt,135,2023-08-01
acta otorhinolaryngologica italica,actaitalica,9,2023-08-01
acta paediatrica,ActaPaediatrica,2126,2023-08-01
acta paulista de enfermagem,ActaPaulEnferm,496,2023-08-01
acta pharmaceutica sinica b,ActaPharmSinB,1424,2023-08-01
acta physiologica,ActaPhysiol,116,2023-08-01
acta politica,ActaPolitica,685,2023-08-01
acta psychiatrica scandinavica,ActaPsychScand,1535,2023-08-01
acta societatis botanicorum poloniae,actasocbotpol,21,2023-08-01
acta sociologica,ActaSocJournal,928,2023-08-01
actas urologicas espanolas,actasurologicas,3986,2023-08-01
actuators,Actuators_MDPI,261,2023-08-01
addiction,AddictionJrnl,15222,2023-08-01
addiction research & theory,AddictResTheory,1943,2023-08-01
additive manufacturing,AdditiveJournal,214,2023-08-01
administrative law review,AdLawReview,938,2023-08-01
administrative science quarterly,ASQJournal,8041,2023-08-01
adult education quarterly,AEQjournal,765,2023-08-01
advanced biology,Adv_Biology,592,2023-08-01
advanced drug delivery reviews,ADDReditors,2203,2023-08-01
