journal_title,twitter,followers,date
3d printing and additive manufacturing,3DPrintingJrnl,9052,2022-10-01
a + u-architecture and urbanism,aupublishing,19543,2022-10-01
aaps pharmscitech,pharmscitech,326,2022-10-01
ab imperio-studies of new imperial history and nationalism in the post-soviet space,abimperio,1681,2022-10-01
abdominal radiology,Abdominal_Rad,1705,2022-10-01
academic emergency medicine,AcademicEmerMed,7089,2022-10-01
academic medicine,AcadMedJournal,20215,2022-10-01
academic radiology,AcadRadiol,3558,2022-10-01
acadiensis,Acadiensis,918,2022-10-01
acarologia,AcarologiaHome,147,2022-10-01
accounting and business research,AccBusRes,977,2022-10-01
accounting and finance,AF_AFAANZ,1714,2022-10-01
accounting auditing & accountability journal,AAAJEmerald,1122,2022-10-01
accounting forum,TandF_AccForum,565,2022-10-01
acm transactions on computer-human interaction,acmtochi,4784,2022-10-01
acm transactions on information systems,acmtois,617,2022-10-01
acm transactions on intelligent systems and technology,ACMTIST,39,2022-10-01
acm transactions on reconfigurable technology and systems,ACM_TRETS,87,2022-10-01
acm transactions on the web,TWebACM,173,2022-10-01
acs applied energy materials,ACS_AEM,1776,2022-10-01
acs applied nano materials,ACS_ANM,1918,2022-10-01
acs biomaterials science & engineering,ACSBiomaterials,3658,2022-10-01
acs catalysis,ACSCatalysis,27200,2022-10-01
acs central science,ACSCentSci,20413,2022-10-01
acs chemical neuroscience,ACSChemNeurosci,3919,2022-10-01
acs earth and space chemistry,ACSEarthSpace,1015,2022-10-01
acs infectious diseases,ACS_Infectious,3175,2022-10-01
acs macro letters,ACSMacroLett,4520,2022-10-01
acs materials letters,ACSMatLett,2388,2022-10-01
acs nano,acsnano,38494,2022-10-01
acs omega,ACS_Omega,3636,2022-10-01
acs photonics,ACSPhotonics,5843,2022-10-01
acs sensors,ACS_Sensors,3411,2022-10-01
acs sustainable chemistry & engineering,ACSSustainable,3294,2022-10-01
acs synthetic biology,ACSSynBio,8811,2022-10-01
acta acustica,ActaAcustica,73,2022-10-01
acta biologica colombiana,RevistaABC,1911,2022-10-01
acta biomaterialia,ActaBio,5182,2022-10-01
acta botanica brasilica,abbrasilica,177,2022-10-01
acta botanica croatica,ActaBotCro,91,2022-10-01
acta botanica mexicana,ActaBotMex,1010,2022-10-01
acta chiropterologica,ActaChiroptero1,2,2022-10-01
acta cirurgica brasileira,ActaCirurgicaBR,25,2022-10-01
acta clinica belgica,ActaClinica,4,2022-10-01
acta crystallographica a-foundation and advances,ActaCrystA,866,2022-10-01
acta crystallographica section b-structural science crystal engineering and materials,ActaCrystB,1104,2022-10-01
acta crystallographica section c-structural chemistry,ActaCrystC,1683,2022-10-01
acta crystallographica section d-structural biology,ActaCrystD,2107,2022-10-01
acta crystallographica section f-structural biology communications,ActaCrystF,1227,2022-10-01
acta entomologica musei nationalis pragae,ActaEntomol,445,2022-10-01
acta geophysica,AGeophysica,21,2022-10-01
acta materialia,Acta_Materialia,3105,2022-10-01
acta medica portuguesa,ActaMedPort,910,2022-10-01
acta neurochirurgica,ActaNeuro,3326,2022-10-01
acta neuropsychiatrica,scnpjournal,60,2022-10-01
acta obstetricia et gynecologica scandinavica,AOGS_tweets,1395,2022-10-01
acta oncologica,actaoncol,186,2022-10-01
acta ophthalmologica,ActaOphthalmol,6,2022-10-01
acta ornithologica,actaorn,428,2022-10-01
acta orthopaedica,ActaOrt,128,2022-10-01
acta otorhinolaryngologica italica,actaitalica,9,2022-10-01
acta paediatrica,ActaPaediatrica,1987,2022-10-01
