journal_title,twitter,followers,date
3d printing and additive manufacturing,3DPrintingJrnl,9125,2023-02-28
a + u-architecture and urbanism,aupublishing,19667,2023-02-28
aaps pharmscitech,pharmscitech,335,2023-02-28
ab imperio-studies of new imperial history and nationalism in the post-soviet space,abimperio,1698,2023-02-28
abdominal radiology,Abdominal_Rad,2227,2023-02-28
academic emergency medicine,AcademicEmerMed,7170,2023-02-28
academic medicine,AcadMedJournal,20502,2023-02-28
academic radiology,AcadRadiol,3709,2023-02-28
acadiensis,Acadiensis,922,2023-02-28
acarologia,AcarologiaHome,157,2023-02-28
accounting and business research,AccBusRes,1001,2023-02-28
accounting and finance,AF_AFAANZ,1781,2023-02-28
accounting auditing & accountability journal,AAAJEmerald,1235,2023-02-28
accounting forum,TandF_AccForum,656,2023-02-28
acm transactions on computer-human interaction,acmtochi,4874,2023-02-28
acm transactions on information systems,acmtois,641,2023-02-28
acm transactions on intelligent systems and technology,ACMTIST,40,2023-02-28
acm transactions on reconfigurable technology and systems,ACM_TRETS,93,2023-02-28
acm transactions on the web,TWebACM,190,2023-02-28
acs applied energy materials,ACS_AEM,1828,2023-02-28
acs applied nano materials,ACS_ANM,1964,2023-02-28
acs biomaterials science & engineering,ACSBiomaterials,3745,2023-02-28
acs catalysis,ACSCatalysis,28779,2023-02-28
acs central science,ACSCentSci,22363,2023-02-28
acs chemical neuroscience,ACSChemNeurosci,3934,2023-02-28
acs earth and space chemistry,ACSEarthSpace,1029,2023-02-28
acs infectious diseases,ACS_Infectious,3170,2023-02-28
acs macro letters,ACSMacroLett,4475,2023-02-28
acs materials letters,ACSMatLett,2512,2023-02-28
acs nano,acsnano,39527,2023-02-28
acs omega,ACS_Omega,4029,2023-02-28
acs photonics,ACSPhotonics,6153,2023-02-28
acs sensors,ACS_Sensors,3663,2023-02-28
acs sustainable chemistry & engineering,ACSSustainable,3500,2023-02-28
acs synthetic biology,ACSSynBio,9240,2023-02-28
acta acustica,ActaAcustica,86,2023-02-28
acta biologica colombiana,RevistaABC,1900,2023-02-28
acta biomaterialia,ActaBio,5308,2023-02-28
acta botanica brasilica,abbrasilica,185,2023-02-28
acta botanica croatica,ActaBotCro,91,2023-02-28
acta botanica mexicana,ActaBotMex,1064,2023-02-28
acta chiropterologica,ActaChiroptero1,3,2023-02-28
acta cirurgica brasileira,ActaCirurgicaBR,38,2023-02-28
acta clinica belgica,ActaClinica,4,2023-02-28
acta crystallographica a-foundation and advances,ActaCrystA,885,2023-02-28
acta crystallographica section b-structural science crystal engineering and materials,ActaCrystB,1125,2023-02-28
acta crystallographica section c-structural chemistry,ActaCrystC,1745,2023-02-28
acta crystallographica section d-structural biology,ActaCrystD,2165,2023-02-28
acta crystallographica section f-structural biology communications,ActaCrystF,1261,2023-02-28
acta entomologica musei nationalis pragae,ActaEntomol,447,2023-02-28
acta geophysica,AGeophysica,27,2023-02-28
acta materialia,Acta_Materialia,3305,2023-02-28
acta medica portuguesa,ActaMedPort,921,2023-02-28
acta neurochirurgica,ActaNeuro,3355,2023-02-28
acta neuropsychiatrica,scnpjournal,64,2023-02-28
acta obstetricia et gynecologica scandinavica,AOGS_tweets,1513,2023-02-28
acta oncologica,actaoncol,195,2023-02-28
acta ophthalmologica,ActaOphthalmol,10,2023-02-28
acta ornithologica,actaorn,498,2023-02-28
acta orthopaedica,ActaOrt,125,2023-02-28
acta otorhinolaryngologica italica,actaitalica,9,2023-02-28
acta paediatrica,ActaPaediatrica,2061,2023-02-28
acta paulista de enfermagem,ActaPaulEnferm,500,2023-02-28
acta pharmaceutica sinica b,ActaPharmSinB,1331,2023-02-28
acta physiologica,ActaPhysiol,109,2023-02-28
acta politica,ActaPolitica,621,2023-02-28
acta psychiatrica scandinavica,ActaPsychScand,1487,2023-02-28
acta societatis botanicorum poloniae,actasocbotpol,19,2023-02-28
acta sociologica,ActaSocJournal,912,2023-02-28
actas urologicas espanolas,actasurologicas,3826,2023-02-28
actuators,Actuators_MDPI,248,2023-02-28
addiction,AddictionJrnl,15180,2023-02-28
addiction research & theory,AddictResTheory,1869,2023-02-28
additive manufacturing,AdditiveJournal,209,2023-02-28
administrative law review,AdLawReview,945,2023-02-28
administrative science quarterly,ASQJournal,7894,2023-02-28
adult education quarterly,AEQjournal,770,2023-02-28
advanced biology,Adv_Biology,611,2023-02-28
advanced drug delivery reviews,ADDReditors,2059,2023-02-28
