journal_title,twitter,followers,date
3d printing and additive manufacturing,3DPrintingJrnl,9143,2023-05-01
a + u-architecture and urbanism,aupublishing,19621,2023-05-01
aaps pharmscitech,pharmscitech,339,2023-05-01
ab imperio-studies of new imperial history and nationalism in the post-soviet space,abimperio,1735,2023-05-01
abdominal radiology,Abdominal_Rad,2383,2023-05-01
academic emergency medicine,AcademicEmerMed,7258,2023-05-01
academic medicine,AcadMedJournal,20709,2023-05-01
academic radiology,AcadRadiol,3825,2023-05-01
acadiensis,Acadiensis,932,2023-05-01
acarologia,AcarologiaHome,165,2023-05-01
accounting and business research,AccBusRes,1032,2023-05-01
accounting and finance,AF_AFAANZ,1808,2023-05-01
accounting auditing & accountability journal,AAAJEmerald,1282,2023-05-01
accounting forum,TandF_AccForum,702,2023-05-01
acm transactions on computer-human interaction,acmtochi,5003,2023-05-01
acm transactions on information systems,acmtois,643,2023-05-01
acm transactions on intelligent systems and technology,ACMTIST,43,2023-05-01
acm transactions on reconfigurable technology and systems,ACM_TRETS,92,2023-05-01
acm transactions on the web,TWebACM,195,2023-05-01
acs applied energy materials,ACS_AEM,1842,2023-05-01
acs applied nano materials,ACS_ANM,1990,2023-05-01
acs biomaterials science & engineering,ACSBiomaterials,3754,2023-05-01
acs catalysis,ACSCatalysis,29639,2023-05-01
acs central science,ACSCentSci,22799,2023-05-01
acs chemical neuroscience,ACSChemNeurosci,3936,2023-05-01
acs earth and space chemistry,ACSEarthSpace,1042,2023-05-01
acs infectious diseases,ACS_Infectious,3170,2023-05-01
acs macro letters,ACSMacroLett,4467,2023-05-01
acs materials letters,ACSMatLett,2567,2023-05-01
acs nano,acsnano,39982,2023-05-01
acs omega,ACS_Omega,4156,2023-05-01
acs photonics,ACSPhotonics,6267,2023-05-01
acs sensors,ACS_Sensors,3764,2023-05-01
acs sustainable chemistry & engineering,ACSSustainable,3576,2023-05-01
acs synthetic biology,ACSSynBio,9468,2023-05-01
acta acustica,ActaAcustica,89,2023-05-01
acta biologica colombiana,RevistaABC,1895,2023-05-01
acta biomaterialia,ActaBio,5362,2023-05-01
acta botanica brasilica,abbrasilica,188,2023-05-01
acta botanica croatica,ActaBotCro,92,2023-05-01
acta botanica mexicana,ActaBotMex,1107,2023-05-01
acta chiropterologica,ActaChiroptero1,3,2023-05-01
acta cirurgica brasileira,ActaCirurgicaBR,43,2023-05-01
acta clinica belgica,ActaClinica,4,2023-05-01
acta crystallographica a-foundation and advances,ActaCrystA,896,2023-05-01
acta crystallographica section b-structural science crystal engineering and materials,ActaCrystB,1135,2023-05-01
acta crystallographica section c-structural chemistry,ActaCrystC,1780,2023-05-01
acta crystallographica section d-structural biology,ActaCrystD,2271,2023-05-01
acta crystallographica section f-structural biology communications,ActaCrystF,1296,2023-05-01
acta entomologica musei nationalis pragae,ActaEntomol,448,2023-05-01
acta geophysica,AGeophysica,31,2023-05-01
acta materialia,Acta_Materialia,3390,2023-05-01
acta medica portuguesa,ActaMedPort,921,2023-05-01
acta neurochirurgica,ActaNeuro,3369,2023-05-01
acta neuropsychiatrica,scnpjournal,64,2023-05-01
acta obstetricia et gynecologica scandinavica,AOGS_tweets,1543,2023-05-01
acta oncologica,actaoncol,199,2023-05-01
acta ophthalmologica,ActaOphthalmol,12,2023-05-01
acta ornithologica,actaorn,519,2023-05-01
acta orthopaedica,ActaOrt,127,2023-05-01
acta otorhinolaryngologica italica,actaitalica,9,2023-05-01
acta paediatrica,ActaPaediatrica,2100,2023-05-01
acta paulista de enfermagem,ActaPaulEnferm,498,2023-05-01
acta pharmaceutica sinica b,ActaPharmSinB,1390,2023-05-01
acta physiologica,ActaPhysiol,112,2023-05-01
acta politica,ActaPolitica,653,2023-05-01
acta psychiatrica scandinavica,ActaPsychScand,1491,2023-05-01
acta societatis botanicorum poloniae,actasocbotpol,20,2023-05-01
acta sociologica,ActaSocJournal,920,2023-05-01
actas urologicas espanolas,actasurologicas,3902,2023-05-01
actuators,Actuators_MDPI,254,2023-05-01
addiction,AddictionJrnl,15186,2023-05-01
addiction research & theory,AddictResTheory,1895,2023-05-01
additive manufacturing,AdditiveJournal,213,2023-05-01
administrative law review,AdLawReview,948,2023-05-01
administrative science quarterly,ASQJournal,7954,2023-05-01
adult education quarterly,AEQjournal,769,2023-05-01
advanced biology,Adv_Biology,644,2023-05-01
advanced drug delivery reviews,ADDReditors,2095,2023-05-01
advanced synthesis & catalysis,AdvSynthCatal,4632,2023-05-01
advances in archaeological practice,aap_saaorg,2199,2023-05-01
advances in atmospheric sciences,AASjournal,774,2023-05-01
advances in clinical and experimental medicine,in_clinical,8,2023-05-01
advances in cognitive psychology,AdvCognPsychol,241,2023-05-01
advances in health sciences education,advhlthsciedu,483,2023-05-01
advances in neonatal care,ANCjournal,406,2023-05-01
