journal_title,twitter,followers,date
3d printing and additive manufacturing,3DPrintingJrnl,9154,2023-09-01
a + u-architecture and urbanism,aupublishing,19411,2023-09-01
aaps pharmscitech,pharmscitech,343,2023-09-01
ab imperio-studies of new imperial history and nationalism in the post-soviet space,abimperio,1744,2023-09-01
abdominal radiology,Abdominal_Rad,2882,2023-09-01
academic emergency medicine,AcademicEmerMed,7496,2023-09-01
academic medicine,AcadMedJournal,20905,2023-09-01
academic radiology,AcadRadiol,3943,2023-09-01
acadiensis,Acadiensis,951,2023-09-01
acarologia,AcarologiaHome,173,2023-09-01
accounting and business research,AccBusRes,1053,2023-09-01
accounting and finance,AF_AFAANZ,1871,2023-09-01
accounting auditing & accountability journal,AAAJEmerald,1287,2023-09-01
accounting forum,TandF_AccForum,771,2023-09-01
acm transactions on computer-human interaction,acmtochi,5114,2023-09-01
acm transactions on information systems,acmtois,659,2023-09-01
acm transactions on intelligent systems and technology,ACMTIST,43,2023-09-01
acm transactions on reconfigurable technology and systems,ACM_TRETS,91,2023-09-01
acm transactions on the web,TWebACM,201,2023-09-01
acs applied energy materials,ACS_AEM,1849,2023-09-01
acs applied nano materials,ACS_ANM,1995,2023-09-01
acs biomaterials science & engineering,ACSBiomaterials,3829,2023-09-01
acs catalysis,ACSCatalysis,30818,2023-09-01
acs central science,ACSCentSci,23382,2023-09-01
acs chemical neuroscience,ACSChemNeurosci,3908,2023-09-01
acs earth and space chemistry,ACSEarthSpace,1040,2023-09-01
acs infectious diseases,ACS_Infectious,3175,2023-09-01
acs macro letters,ACSMacroLett,4438,2023-09-01
acs materials letters,ACSMatLett,2616,2023-09-01
acs nano,acsnano,40393,2023-09-01
acs omega,ACS_Omega,4296,2023-09-01
acs photonics,ACSPhotonics,6410,2023-09-01
acs sensors,ACS_Sensors,3963,2023-09-01
acs sustainable chemistry & engineering,ACSSustainable,3703,2023-09-01
acs synthetic biology,ACSSynBio,9809,2023-09-01
acta acustica,ActaAcustica,94,2023-09-01
acta biologica colombiana,RevistaABC,1882,2023-09-01
acta biomaterialia,ActaBio,5474,2023-09-01
acta botanica brasilica,abbrasilica,195,2023-09-01
acta botanica croatica,ActaBotCro,92,2023-09-01
acta botanica mexicana,ActaBotMex,1141,2023-09-01
acta chiropterologica,ActaChiroptero1,3,2023-09-01
acta cirurgica brasileira,ActaCirurgicaBR,44,2023-09-01
acta clinica belgica,ActaClinica,4,2023-09-01
acta crystallographica a-foundation and advances,ActaCrystA,918,2023-09-01
acta crystallographica section b-structural science crystal engineering and materials,ActaCrystB,1158,2023-09-01
acta crystallographica section c-structural chemistry,ActaCrystC,1850,2023-09-01
acta crystallographica section d-structural biology,ActaCrystD,2489,2023-09-01
acta crystallographica section f-structural biology communications,ActaCrystF,1366,2023-09-01
acta entomologica musei nationalis pragae,ActaEntomol,442,2023-09-01
acta geophysica,AGeophysica,39,2023-09-01
acta materialia,Acta_Materialia,3467,2023-09-01
acta medica portuguesa,ActaMedPort,937,2023-09-01
acta neurochirurgica,ActaNeuro,3550,2023-09-01
acta neuropsychiatrica,scnpjournal,64,2023-09-01
acta obstetricia et gynecologica scandinavica,AOGS_tweets,1618,2023-09-01
acta oncologica,actaoncol,207,2023-09-01
acta ophthalmologica,ActaOphthalmol,17,2023-09-01
acta ornithologica,actaorn,526,2023-09-01
acta orthopaedica,ActaOrt,139,2023-09-01
acta otorhinolaryngologica italica,actaitalica,10,2023-09-01
acta paediatrica,ActaPaediatrica,2121,2023-09-01
acta paulista de enfermagem,ActaPaulEnferm,498,2023-09-01
acta pharmaceutica sinica b,ActaPharmSinB,1488,2023-09-01
acta physiologica,ActaPhysiol,118,2023-09-01
acta politica,ActaPolitica,688,2023-09-01
acta psychiatrica scandinavica,ActaPsychScand,1546,2023-09-01
acta societatis botanicorum poloniae,actasocbotpol,21,2023-09-01
