journal_title,twitter,followers,date
3d printing and additive manufacturing,3DPrintingJrnl,9153,2023-10-01
a + u-architecture and urbanism,aupublishing,19405,2023-10-01
aaps pharmscitech,pharmscitech,343,2023-10-01
ab imperio-studies of new imperial history and nationalism in the post-soviet space,abimperio,1750,2023-10-01
abdominal radiology,Abdominal_Rad,3007,2023-10-01
academic emergency medicine,AcademicEmerMed,7508,2023-10-01
academic medicine,AcadMedJournal,20963,2023-10-01
academic radiology,AcadRadiol,3959,2023-10-01
acadiensis,Acadiensis,966,2023-10-01
acarologia,AcarologiaHome,174,2023-10-01
accounting and business research,AccBusRes,1072,2023-10-01
accounting and finance,AF_AFAANZ,1890,2023-10-01
accounting auditing & accountability journal,AAAJEmerald,1292,2023-10-01
accounting forum,TandF_AccForum,802,2023-10-01
acm transactions on computer-human interaction,acmtochi,5109,2023-10-01
acm transactions on information systems,acmtois,668,2023-10-01
acm transactions on intelligent systems and technology,ACMTIST,43,2023-10-01
acm transactions on reconfigurable technology and systems,ACM_TRETS,91,2023-10-01
acm transactions on the web,TWebACM,201,2023-10-01
acs applied energy materials,ACS_AEM,1852,2023-10-01
acs applied nano materials,ACS_ANM,1999,2023-10-01
acs biomaterials science & engineering,ACSBiomaterials,3857,2023-10-01
acs catalysis,ACSCatalysis,31089,2023-10-01
acs central science,ACSCentSci,23521,2023-10-01
acs chemical neuroscience,ACSChemNeurosci,3914,2023-10-01
acs earth and space chemistry,ACSEarthSpace,1039,2023-10-01
acs infectious diseases,ACS_Infectious,3172,2023-10-01
acs macro letters,ACSMacroLett,4433,2023-10-01
acs materials letters,ACSMatLett,2617,2023-10-01
acs nano,acsnano,40520,2023-10-01
acs omega,ACS_Omega,4317,2023-10-01
acs photonics,ACSPhotonics,6447,2023-10-01
acs sensors,ACS_Sensors,4016,2023-10-01
acs sustainable chemistry & engineering,ACSSustainable,3730,2023-10-01
acs synthetic biology,ACSSynBio,9892,2023-10-01
acta acustica,ActaAcustica,95,2023-10-01
acta biologica colombiana,RevistaABC,1881,2023-10-01
acta biomaterialia,ActaBio,5491,2023-10-01
acta botanica brasilica,abbrasilica,194,2023-10-01
acta botanica croatica,ActaBotCro,93,2023-10-01
acta botanica mexicana,ActaBotMex,1145,2023-10-01
acta chiropterologica,ActaChiroptero1,3,2023-10-01
acta cirurgica brasileira,ActaCirurgicaBR,45,2023-10-01
acta clinica belgica,ActaClinica,4,2023-10-01
acta crystallographica a-foundation and advances,ActaCrystA,928,2023-10-01
acta crystallographica section b-structural science crystal engineering and materials,ActaCrystB,1169,2023-10-01
acta crystallographica section c-structural chemistry,ActaCrystC,1870,2023-10-01
acta crystallographica section d-structural biology,ActaCrystD,2523,2023-10-01
acta crystallographica section f-structural biology communications,ActaCrystF,1383,2023-10-01
