journal_title,twitter,followers,date
3d printing and additive manufacturing,3DPrintingJrnl,9073,2022-11-01
a + u-architecture and urbanism,aupublishing,19537,2022-11-01
aaps pharmscitech,pharmscitech,334,2022-11-01
ab imperio-studies of new imperial history and nationalism in the post-soviet space,abimperio,1687,2022-11-01
abdominal radiology,Abdominal_Rad,1814,2022-11-01
academic emergency medicine,AcademicEmerMed,7102,2022-11-01
academic medicine,AcadMedJournal,20278,2022-11-01
academic radiology,AcadRadiol,3624,2022-11-01
acadiensis,Acadiensis,922,2022-11-01
acarologia,AcarologiaHome,151,2022-11-01
accounting and business research,AccBusRes,991,2022-11-01
accounting and finance,AF_AFAANZ,1725,2022-11-01
accounting auditing & accountability journal,AAAJEmerald,1153,2022-11-01
accounting forum,TandF_AccForum,591,2022-11-01
acm transactions on computer-human interaction,acmtochi,4805,2022-11-01
acm transactions on information systems,acmtois,626,2022-11-01
acm transactions on intelligent systems and technology,ACMTIST,40,2022-11-01
acm transactions on reconfigurable technology and systems,ACM_TRETS,88,2022-11-01
acm transactions on the web,TWebACM,180,2022-11-01
acs applied energy materials,ACS_AEM,1792,2022-11-01
acs applied nano materials,ACS_ANM,1937,2022-11-01
acs biomaterials science & engineering,ACSBiomaterials,3668,2022-11-01
acs catalysis,ACSCatalysis,27512,2022-11-01
acs central science,ACSCentSci,21126,2022-11-01
acs chemical neuroscience,ACSChemNeurosci,3915,2022-11-01
acs earth and space chemistry,ACSEarthSpace,1023,2022-11-01
acs infectious diseases,ACS_Infectious,3173,2022-11-01
acs macro letters,ACSMacroLett,4517,2022-11-01
acs materials letters,ACSMatLett,2420,2022-11-01
acs nano,acsnano,38702,2022-11-01
acs omega,ACS_Omega,3703,2022-11-01
acs photonics,ACSPhotonics,5926,2022-11-01
acs sensors,ACS_Sensors,3463,2022-11-01
acs sustainable chemistry & engineering,ACSSustainable,3343,2022-11-01
acs synthetic biology,ACSSynBio,8903,2022-11-01
acta acustica,ActaAcustica,76,2022-11-01
acta biologica colombiana,RevistaABC,1907,2022-11-01
acta biomaterialia,ActaBio,5223,2022-11-01
acta botanica brasilica,abbrasilica,180,2022-11-01
acta botanica croatica,ActaBotCro,91,2022-11-01
acta botanica mexicana,ActaBotMex,1021,2022-11-01
acta chiropterologica,ActaChiroptero1,2,2022-11-01
acta cirurgica brasileira,ActaCirurgicaBR,28,2022-11-01
acta clinica belgica,ActaClinica,4,2022-11-01
acta crystallographica a-foundation and advances,ActaCrystA,874,2022-11-01
acta crystallographica section b-structural science crystal engineering and materials,ActaCrystB,1114,2022-11-01
acta crystallographica section c-structural chemistry,ActaCrystC,1695,2022-11-01
acta crystallographica section d-structural biology,ActaCrystD,2113,2022-11-01
acta crystallographica section f-structural biology communications,ActaCrystF,1233,2022-11-01
acta entomologica musei nationalis pragae,ActaEntomol,441,2022-11-01
acta geophysica,AGeophysica,21,2022-11-01
acta materialia,Acta_Materialia,3147,2022-11-01
acta medica portuguesa,ActaMedPort,913,2022-11-01
acta neurochirurgica,ActaNeuro,3335,2022-11-01
acta neuropsychiatrica,scnpjournal,60,2022-11-01
acta obstetricia et gynecologica scandinavica,AOGS_tweets,1421,2022-11-01
acta oncologica,actaoncol,186,2022-11-01
acta ophthalmologica,ActaOphthalmol,6,2022-11-01
acta ornithologica,actaorn,433,2022-11-01
acta orthopaedica,ActaOrt,128,2022-11-01
acta otorhinolaryngologica italica,actaitalica,9,2022-11-01
acta paediatrica,ActaPaediatrica,2005,2022-11-01
acta paulista de enfermagem,ActaPaulEnferm,487,2022-11-01
acta pharmaceutica sinica b,ActaPharmSinB,1253,2022-11-01
acta physiologica,ActaPhysiol,110,2022-11-01
acta politica,ActaPolitica,530,2022-11-01
acta psychiatrica scandinavica,ActaPsychScand,1414,2022-11-01
