journal_title,twitter,followers,date
3d printing and additive manufacturing,3DPrintingJrnl,9166,2023-11-01
a + u-architecture and urbanism,aupublishing,19376,2023-11-01
aaps pharmscitech,pharmscitech,343,2023-11-01
ab imperio-studies of new imperial history and nationalism in the post-soviet space,abimperio,1747,2023-11-01
abdominal radiology,Abdominal_Rad,3098,2023-11-01
academic emergency medicine,AcademicEmerMed,7526,2023-11-01
academic medicine,AcadMedJournal,20977,2023-11-01
academic radiology,AcadRadiol,3966,2023-11-01
acadiensis,Acadiensis,980,2023-11-01
acarologia,AcarologiaHome,175,2023-11-01
accounting and business research,AccBusRes,1087,2023-11-01
accounting and finance,AF_AFAANZ,1903,2023-11-01
accounting auditing & accountability journal,AAAJEmerald,1295,2023-11-01
accounting forum,TandF_AccForum,826,2023-11-01
acm transactions on computer-human interaction,acmtochi,5103,2023-11-01
acm transactions on information systems,acmtois,683,2023-11-01
acm transactions on intelligent systems and technology,ACMTIST,43,2023-11-01
acm transactions on reconfigurable technology and systems,ACM_TRETS,91,2023-11-01
acm transactions on the web,TWebACM,202,2023-11-01
acs applied energy materials,ACS_AEM,1855,2023-11-01
acs applied nano materials,ACS_ANM,2001,2023-11-01
acs biomaterials science & engineering,ACSBiomaterials,3900,2023-11-01
acs catalysis,ACSCatalysis,31419,2023-11-01
acs central science,ACSCentSci,23804,2023-11-01
acs chemical neuroscience,ACSChemNeurosci,3920,2023-11-01
acs earth and space chemistry,ACSEarthSpace,1040,2023-11-01
acs infectious diseases,ACS_Infectious,3174,2023-11-01
acs macro letters,ACSMacroLett,4430,2023-11-01
acs materials letters,ACSMatLett,2641,2023-11-01
acs nano,acsnano,40658,2023-11-01
acs omega,ACS_Omega,4329,2023-11-01
acs photonics,ACSPhotonics,6474,2023-11-01
acs sensors,ACS_Sensors,4065,2023-11-01
acs sustainable chemistry & engineering,ACSSustainable,3755,2023-11-01
acs synthetic biology,ACSSynBio,9975,2023-11-01
acta acustica,ActaAcustica,96,2023-11-01
acta biologica colombiana,RevistaABC,1879,2023-11-01
acta biomaterialia,ActaBio,5522,2023-11-01
acta botanica brasilica,abbrasilica,196,2023-11-01
acta botanica croatica,ActaBotCro,95,2023-11-01
acta botanica mexicana,ActaBotMex,1153,2023-11-01
acta chiropterologica,ActaChiroptero1,3,2023-11-01
acta cirurgica brasileira,ActaCirurgicaBR,50,2023-11-01
acta clinica belgica,ActaClinica,5,2023-11-01
acta crystallographica a-foundation and advances,ActaCrystA,932,2023-11-01
acta crystallographica section b-structural science crystal engineering and materials,ActaCrystB,1170,2023-11-01
acta crystallographica section c-structural chemistry,ActaCrystC,1886,2023-11-01
acta crystallographica section d-structural biology,ActaCrystD,2566,2023-11-01
acta crystallographica section f-structural biology communications,ActaCrystF,1415,2023-11-01
acta entomologica musei nationalis pragae,ActaEntomol,439,2023-11-01
acta geophysica,AGeophysica,39,2023-11-01
acta materialia,Acta_Materialia,3493,2023-11-01
acta medica portuguesa,ActaMedPort,949,2023-11-01
acta neurochirurgica,ActaNeuro,3664,2023-11-01
acta neuropsychiatrica,scnpjournal,71,2023-11-01
acta obstetricia et gynecologica scandinavica,AOGS_tweets,1655,2023-11-01
acta oncologica,actaoncol,209,2023-11-01
acta ophthalmologica,ActaOphthalmol,21,2023-11-01
acta ornithologica,actaorn,529,2023-11-01
acta orthopaedica,ActaOrt,149,2023-11-01
acta otorhinolaryngologica italica,actaitalica,10,2023-11-01
acta paediatrica,ActaPaediatrica,2235,2023-11-01
acta paulista de enfermagem,ActaPaulEnferm,505,2023-11-01
acta pharmaceutica sinica b,ActaPharmSinB,1536,2023-11-01
acta physiologica,ActaPhysiol,118,2023-11-01
acta politica,ActaPolitica,700,2023-11-01
acta psychiatrica scandinavica,ActaPsychScand,1561,2023-11-01
acta societatis botanicorum poloniae,actasocbotpol,21,2023-11-01
acta sociologica,ActaSocJournal,1047,2023-11-01
actas urologicas espanolas,actasurologicas,4067,2023-11-01
actuators,Actuators_MDPI,273,2023-11-01
